trip_id,taxi_id,trip_start_timestamp,trip_end_timestamp,trip_seconds,trip_miles,dropoff_census_tract,dropoff_community_area,fare,tips,tolls,extras,trip_total,payment_type,company,dropoff_centroid_latitude,dropoff_centroid_longitude,dropoff_centroid_location,pickup_census_tract,pickup_community_area,pickup_centroid_latitude,pickup_centroid_longitude,pickup_centroid_location
ff0f0c15cf4142a8cba49489e8e9b9d7f9a35482,222a0a55fe5180e292a8e128804e081fa50b05a0329775f9344b50ee230f23d12635ee6a2429af764d01221057af04260089849cfb0192fa29bfda38362ffad6,2019-10-31T00:00:00.000,2019-10-31T00:15:00.000,1436.0,18.37,17031081403.0,8.0,45.25,7.46,0.0,4.0,57.21,Credit Card,Flash Cab,41.890922026,-87.618868355,"{'type': 'Point', 'coordinates': [-87.6188683546, 41.8909220259]}",,,,,
fc055c0a9931c4aa9e25e34fc33a06f15f022635,8b292c0373fed1bf25c7fd6402d9a41b5686f3527fc49cec4382719e657e9074fa2d10e7e17c25d61ed964a7d65222ef13f063fabc702f44cfa994102b1bcf20,2019-10-31T00:00:00.000,2019-10-31T00:15:00.000,1351.0,17.19,17031081800.0,8.0,42.25,7.09,0.0,4.5,54.34,Credit Card,Flash Cab,41.89321636,-87.63784421,"{'type': 'Point', 'coordinates': [-87.6378442095, 41.8932163595]}",17031980000.0,76.0,41.97907082,-87.903039661,"{'type': 'Point', 'coordinates': [-87.9030396611, 41.9790708201]}"
fb5470db3139d8d5cb2129f607db20bb8d15f366,206b0dc07ac130c4a4d5e85e652f1f1f466b99a76e9aa732ca54ae4f3d4d7f1ad2ff297e698eaebaf920930da61368f0d8b55fea69c2e803976967e8c4a7a64a,2019-10-31T00:00:00.000,2019-10-31T00:15:00.000,1500.0,14.2,,6.0,36.25,8.15,0.0,4.0,48.9,Credit Card,Medallion Leasin,41.944226601,-87.655998182,"{'type': 'Point', 'coordinates': [-87.6559981815, 41.9442266014]}",,76.0,41.980264315,-87.913624596,"{'type': 'Point', 'coordinates': [-87.913624596, 41.9802643146]}"
f7b27f15d4b0d961f231ba2d9f45de958acc495f,451d7c5b2e7cb5e9d95308fe88262b5c32559a595b5aac5c759724d602fca61150bf5f236855e41c27b9a44968ee07baa1294f0d873cf0d955329a343fca9b97,2019-10-31T00:00:00.000,2019-10-31T00:15:00.000,1257.0,8.87,,,24.5,7.25,0.0,4.0,36.25,Credit Card,Chicago Carriage Cab Corp,,,,,56.0,41.79259236,-87.769615453,"{'type': 'Point', 'coordinates': [-87.7696154528, 41.7925923603]}"
f6e49a53ab4a52657e743ea8774d01c7991b9f52,4f4cae403660ec4c1e2e3b03128bd7a5af139619e3e513246c1a45c19a9d2a04bf8831972ebde690feedb335deba34acfba89ebada6a6101b1c1e32e58ba8e7a,2019-10-31T00:00:00.000,2019-10-31T00:15:00.000,300.0,0.0,,8.0,6.0,2.0,0.0,1.0,9.0,Credit Card,Taxi Affiliation Services,41.899602111,-87.633308037,"{'type': 'Point', 'coordinates': [-87.6333080367, 41.899602111]}",,8.0,41.899602111,-87.633308037,"{'type': 'Point', 'coordinates': [-87.6333080367, 41.899602111]}"
031464eeada8cd220ae9da50632d03cfdc434f95,96a96f52dbf30dc4376ecdb36a6bb955e242a3e2a281c110db95c47f337c786fd92e66121defe5c40dbcec5761ce728718165477882bd09821bd385072ca755c,2020-10-31T23:45:00.000,2020-11-01T00:00:00.000,291.0,1.03,,16.0,5.75,0.0,0.0,0.0,5.75,Cash,Flash Cab,41.953582125,-87.72345239,"{'type': 'Point', 'coordinates': [-87.7234523905, 41.9535821253]}",,14.0,41.968069,-87.721559063,"{'type': 'Point', 'coordinates': [-87.7215590627, 41.968069]}"
242950edfb3ebe625683cf8864d90cb9dfc4c88a,8de0e6d62efb41e049bcc13474cd662275376b7fbdc43540f46e86db206457523435fc39ab161757b5583ee258434c8863dbcd19b3bfa14aca6a0485da12d40e,2020-10-31T23:45:00.000,2020-11-01T00:00:00.000,1080.0,0.3,,1.0,16.75,3.45,0.0,0.0,20.2,Credit Card,Taxi Affiliation Services,42.009622881,-87.670166857,"{'type': 'Point', 'coordinates': [-87.6701668569, 42.0096228806]}",,4.0,41.975170943,-87.687515515,"{'type': 'Point', 'coordinates': [-87.6875155152, 41.9751709433]}"
1dcaa3e6cfdb13cb7a633751abb816ad6e9c10dd,c2280976049b22e58ce53a17263114616be76981b9ac561152deb73415c9090b744fe7dc29b8b5f650749d3bc12d8fffb5c878886e7dc3c04a43ace71ead11c3,2020-10-31T23:45:00.000,2020-10-31T23:45:00.000,720.0,4.9,,,15.0,0.0,0.0,4.0,19.0,Cash,Medallion Leasin,,,,,56.0,41.79259236,-87.769615453,"{'type': 'Point', 'coordinates': [-87.7696154528, 41.7925923603]}"
3a0d3914f9f9154140e79f77af9bef3ebeda492a,847cf962bd6f62040673e6c24c24940aeb2d7fdaa54677eed6a0aaa4aeef61984916b32d763b4baa6c32476531543bb77e2346cd64f505618f6b9d562243f950,2020-10-31T23:45:00.000,2020-11-01T00:00:00.000,300.0,0.2,,8.0,5.0,0.0,0.0,4.0,9.0,Cash,Taxi Affiliation Services,41.899602111,-87.633308037,"{'type': 'Point', 'coordinates': [-87.6333080367, 41.899602111]}",,8.0,41.899602111,-87.633308037,"{'type': 'Point', 'coordinates': [-87.6333080367, 41.899602111]}"
445ca4aad1392cfbe9bcef6b7a28de208ce106ef,e11ecc8e74a2d3cbd2e9f58151ed09c81587cb491c50f6a057b6f024895132bc35bc50c09250dfeba9a7ca4b660fb3a06a6d67a3d0bb87c8254c39817ada8a1a,2020-10-31T23:45:00.000,2020-11-01T00:00:00.000,900.0,5.6,,8.0,16.75,5.15,0.0,0.0,21.9,Credit Card,Taxi Affiliation Services,41.899602111,-87.633308037,"{'type': 'Point', 'coordinates': [-87.6333080367, 41.899602111]}",,6.0,41.944226601,-87.655998182,"{'type': 'Point', 'coordinates': [-87.6559981815, 41.9442266014]}"
